saludo,Hola como estas?
saludo,Hola
saludo,Hay alguien aqui
saludo,ola
saludo,hi
saludo,hello
saludo,Hola hola
saludo,buenas noches
saludo,buenos dias
saludo,buen dia
saludo,hey
saludo,buenas
saludo,buenos dias
saludo,hola que tal
saludo,holaa
saludo,oli
saludo,holas
saludo,olas
saludo,hola amadeus
saludo,amadeus estas ahi?
saludo,k tal 
saludo,vuenos dias
despedida,Adios
despedida,Nos vemos
despedida,Adios vaquero
despedida,Chau
despedida,Chaito
despedida,Matane
despedida,Hasta mañana
despedida,exit
despedida,chau
despedida,hasta luego
despedida,chao
despedida,bye
despedida,hasta pronto
despedida,nos vemos
despedida,adiós
despedida,hasta nunca
despedida,me voy
despedida,adios popo
despedida,see you
despedida,cya
despedida,hablamos mas tarde
despedida,conversamos mas tarde
ayuda,ayuda
ayuda,help
ayuda,necesito ayuda
ayuda,no se que hacer
ayuda,ayudame
ayuda,¿ puedes ayudarme ?
ayuda,puedes ayudarme
ayuda,me puedes ayudar
ayuda,como funcionas
ayuda,ayudame por favor
ayuda,no sé que hacer
ayuda,cómo funciona ?
ayuda,need help
ayuda,ayudame
compartir,compartir
compartir,share
compartir,compartirte
compartir,compartir Amadeus
compartir,quiero compartirte
compartir,quiero compartir
empezar,get _ started _ payload
vermenu,que puedo hacer
vermenu,que puedo hacer ?
vermenu,opciones
vermenu,menú
vermenu,ver menu
vermenu,menu
vermenu,muestrame el menú
vermenu,cuáles son las opciones del menú ?
vermenu,que menu hay
vermenu,cual es tu menú?
vermenu,que puedo hace por aqui?
vermenu,como me ayudas
vermenu,¿ puedo realizar algún trámite ?
vermenu,¿ cómo me ayudas ?
vermenu,puedo realizar un tramite
vermenu,¿ qué trámites puedo realizar ?
contacto,¿ Donde se ubican ?
contacto,¿ Cual es la agencia mas cercana ?
contacto,direccion
contacto,contactar
contacto,donde estan ?
contacto,¿ dónde se ubican ?
contacto,dónde se ubican ?
contacto,ubicacion
contacto,donde estan
contacto,¿ cuál es su dirección ?
contacto,donde se ubican ?
contacto,ubicación ?
contacto,comunicarme
contacto,como los contacto ?
contacto,cual es su direccion
contacto,localizacion ?
contacto,ubicarme
contacto,quiero verte
contacto,me quiero contactar
contacto,donde se ubican
calificar,Calificar
calificar,quiero darte nota
calificar,me gusto tu atencion
calificar,quiero calificarte
calificar,feedback
calificar,Calificar amadeus
calificar,quiero darte nota
calificar,me gusto tu atencion
calificar,quiero darte nota
calificar,me gustas amadeus
calificar,quiero calificarte
EstadoCuenta,muestrame mi estado de cuenta
EstadoCuenta,cuentame ha crecido mi plata
EstadoCuenta,he perdido mi dinero en ustedes
EstadoCuenta,cuanto me han hecho ganar hasta ahora
EstadoCuenta,cuanto he ganado
UltimoAporte,cuanto he ganado
UltimoAporte,quiero saber si mi empresa pago AFP
UltimoAporte,quiero saber si mi empleado ha pagado
UltimoAporte,Mis aportes
UltimoAporte,quiero mi ultimo aporte
UltimoAporte,quiero saber si estoy aportando
UltimoAporte,¿Soy afiliado activo
UltimoAporte,Mostrar ultimo aporte
